ID,X,Y
449,"[1, 2, 0.04071121592332203, 0]",0
450,"[0, 1, 0.05433986118859322, 1]",1
451,"[0, 1, 0.08267254151786287, 0]",1
452,"[0, 3, 0.11157888808614186, 0]",0
453,"[0, 1, 0.030200032385386162, 0]",1
454,"[0, 1, 0.15160106168455897, 1]",1
455,"[0, 3, 0.05021049963876384, 0]",0
456,"[1, 3, 0.07172928519823404, 0]",0
457,"[0, 2, 0.09591658338410972, 0]",1
458,"[1, 1, 0.07157856487703729, 0]",1
459,"[1, 2, 0.0062507436362678245, 0]",0
460,"[0, 3, 0.039498893762733245, 0]",1
461,"[1, 2, 0.021003380016691484, 0]",0
462,"[1, 3, 0.03423443157188444, 0]",0
463,"[0, 2, 0.04560443571760848, 0]",1
464,"[1, 2, 0.07512610390550699, 0]",0
465,"[0, 1, 0.1412170302340233, 1]",1
466,"[1, 2, 0.036964229825399035, 0]",0
467,"[0, 1, 0.11086921550590036, 1]",1
468,"[1, 2, 0.05468621970450631, 0]",0
469,"[0, 1, 0.021676744159062053, 0]",1
470,"[0, 1, 0.10024340462511845, 1]",1
471,"[0, 2, 0.06025259956651661, 0]",1
472,"[0, 1, 0.07259522369858952, 1]",1
473,"[0, 1, 0.04374257656368805, 0]",0
474,"[1, 2, 0.009019850234508473, 0]",0
475,"[0, 1, 0.02489776841591595, 1]",1
476,"[0, 1, 0.04972461279950563, 0]",0
477,"[0, 3, 0.02734543848445399, 0]",0
478,"[0, 1, 0.05139099621098891, 0]",1
479,"[0, 1, 0.01828975288420861, 0]",1
480,"[0, 2, 0.08060180351583128, 0]",1
481,"[0, 1, 0.09277931191063542, 0]",1
482,"[0, 1, 0.1099175651357493, 0]",1
483,"[0, 1, 0.11584320790338634, 0]",1
484,"[1, 1, 0.01650756152507304, 0]",0
485,"[0, 2, 0.05617155399805764, 1]",1
486,"[1, 3, 0.04564590876251259, 0]",0
487,"[1, 3, 0.051941896178031556, 0]",0
488,"[0, 1, 0.0456484954919231, 0]",1
